date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-12-23T00:00:00+1000,23/12/2013,0:00:00,1.39E+09,27.2309,139.0063,0.1744,28.249,27.1058,Not available,
2013-12-24T00:00:00+1000,24/12/2013,0:00:00,1.39E+09,27.3588,134.8688,0.2537,Not available,Not available,Not available,
2013-12-25T00:00:00+1000,25/12/2013,0:00:00,1.39E+09,27.3573,135.8097,0.2477,Not available,Not available,Not available,
2013-12-26T00:00:00+1000,26/12/2013,0:00:00,1.39E+09,27.5457,132.6071,0.248,Not available,Not available,Not available,
2013-12-27T00:00:00+1000,27/12/2013,0:00:00,1.39E+09,28.0918,135.0632,0.3061,Not available,Not available,Not available,
2013-12-28T00:00:00+1000,28/12/2013,0:00:00,1.39E+09,28.3232,134.2931,0.3417,Not available,Not available,Not available,
2013-12-29T00:00:00+1000,29/12/2013,0:00:00,1.39E+09,28.2785,132.759,0.3262,Not available,Not available,Not available,
2013-12-30T00:00:00+1000,30/12/2013,0:00:00,1.39E+09,28.3398,134.4111,0.3219,Not available,Not available,Not available,
2013-12-31T00:00:00+1000,31/12/2013,0:00:00,1.39E+09,28.2958,144.2354,0.3399,Not available,Not available,Not available,
2014-01-01T00:00:00+1000,1/01/2014,0:00:00,1.39E+09,28.5394,162.6569,0.318,Not available,Not available,Not available,
2014-01-02T00:00:00+1000,2/01/2014,0:00:00,1.39E+09,28.7991,189.6521,0.2999,Not available,Not available,Not available,
2014-01-03T00:00:00+1000,3/01/2014,0:00:00,1.39E+09,28.7445,166.9014,0.2815,Not available,Not available,Not available,
2014-01-04T00:00:00+1000,4/01/2014,0:00:00,1.39E+09,28.4656,151.1174,0.2744,Not available,Not available,Not available,
2014-01-05T00:00:00+1000,5/01/2014,0:00:00,1.39E+09,28.5132,131.9535,0.285,Not available,Not available,Not available,
2014-01-06T00:00:00+1000,6/01/2014,0:00:00,1.39E+09,28.7219,123.2931,0.234,Not available,Not available,Not available,
2014-01-07T00:00:00+1000,7/01/2014,0:00:00,1.39E+09,28.6928,137.659,0.2005,Not available,Not available,Not available,
2014-01-08T00:00:00+1000,8/01/2014,0:00:00,1.39E+09,28.5546,209.3632,0.1448,Not available,Not available,Not available,
2014-01-09T00:00:00+1000,9/01/2014,0:00:00,1.39E+09,28.6411,300.0667,0.2393,Not available,Not available,Not available,
2014-01-10T00:00:00+1000,10/01/2014,0:00:00,1.39E+09,28.8066,298.5951,0.2572,Not available,Not available,Not available,
2014-01-11T00:00:00+1000,11/01/2014,0:00:00,1.39E+09,28.8394,263.7083,0.2161,Not available,Not available,Not available,
2014-01-12T00:00:00+1000,12/01/2014,0:00:00,1.39E+09,28.6536,270.65,0.2203,Not available,Not available,Not available,
2014-01-13T00:00:00+1000,13/01/2014,0:00:00,1.39E+09,28.4835,253.8549,0.2234,Not available,Not available,Not available,
2014-01-14T00:00:00+1000,14/01/2014,0:00:00,1.39E+09,28.3752,258.4056,0.2326,Not available,Not available,Not available,
2014-01-15T00:00:00+1000,15/01/2014,0:00:00,1.39E+09,28.2634,257.2965,0.2281,Not available,Not available,Not available,
2014-01-16T00:00:00+1000,16/01/2014,0:00:00,1.39E+09,28.1785,248.3099,0.2082,Not available,Not available,Not available,
2014-01-17T00:00:00+1000,17/01/2014,0:00:00,1.39E+09,28.0836,232.2603,0.1792,Not available,Not available,Not available,
2014-01-18T00:00:00+1000,18/01/2014,0:00:00,1.39E+09,28.0825,200.0042,0.1711,Not available,Not available,Not available,
2014-01-19T00:00:00+1000,19/01/2014,0:00:00,1.39E+09,28.317,160.9979,0.2005,Not available,Not available,Not available,
2014-01-20T00:00:00+1000,20/01/2014,0:00:00,1.39E+09,28.3764,136.7361,0.2856,Not available,Not available,Not available,
