date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-20T15:45:00+1000,20/09/2013,15:45:00,1.38E+09,24.72,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T16:00:00+1000,20/09/2013,16:00:00,1.38E+09,24.69,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T16:15:00+1000,20/09/2013,16:15:00,1.38E+09,24.67,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T16:30:00+1000,20/09/2013,16:30:00,1.38E+09,24.65,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T16:45:00+1000,20/09/2013,16:45:00,1.38E+09,24.57,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T17:00:00+1000,20/09/2013,17:00:00,1.38E+09,24.49,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T17:15:00+1000,20/09/2013,17:15:00,1.38E+09,24.51,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T17:30:00+1000,20/09/2013,17:30:00,1.38E+09,24.48,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T17:45:00+1000,20/09/2013,17:45:00,1.38E+09,24.52,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T18:00:00+1000,20/09/2013,18:00:00,1.38E+09,24.49,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T18:15:00+1000,20/09/2013,18:15:00,1.38E+09,24.45,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T18:30:00+1000,20/09/2013,18:30:00,1.38E+09,24.47,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T18:45:00+1000,20/09/2013,18:45:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T19:00:00+1000,20/09/2013,19:00:00,1.38E+09,24.49,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T19:15:00+1000,20/09/2013,19:15:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T19:30:00+1000,20/09/2013,19:30:00,1.38E+09,24.47,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T19:45:00+1000,20/09/2013,19:45:00,1.38E+09,24.48,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T20:00:00+1000,20/09/2013,20:00:00,1.38E+09,24.47,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T20:15:00+1000,20/09/2013,20:15:00,1.38E+09,24.52,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T20:30:00+1000,20/09/2013,20:30:00,1.38E+09,24.53,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T20:45:00+1000,20/09/2013,20:45:00,1.38E+09,24.52,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T21:00:00+1000,20/09/2013,21:00:00,1.38E+09,24.47,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T21:15:00+1000,20/09/2013,21:15:00,1.38E+09,24.52,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T21:30:00+1000,20/09/2013,21:30:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T21:45:00+1000,20/09/2013,21:45:00,1.38E+09,24.48,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T22:00:00+1000,20/09/2013,22:00:00,1.38E+09,24.5,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T22:15:00+1000,20/09/2013,22:15:00,1.38E+09,24.44,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T22:30:00+1000,20/09/2013,22:30:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T22:45:00+1000,20/09/2013,22:45:00,1.38E+09,24.43,Not available,Not available,Not available,Not available,Not available,Not available,Not available
